Ticker,Side,P/L %,Exit,Win,Headline
NVDA,SHORT,-0.11923472982494114,📈 Trend Flip (Short),❌,Mag 7 Stocks Melt Up After Cea...
NVDA,LONG,0.054130128829703535,📉 Trend Flip,✅,SLB Lands Major Deal To Help T...
NVDA,LONG,0.06496318752707046,📉 Trend Flip,✅,Investigating NVIDIA's Standin...
NVDA,LONG,0.021803117845847618,💰 RSI Overbought,✅,VC Firm Eclipse Raises $1.3 Bi...
NVDA,SHORT,0.04517987236685158,💎 RSI Oversold,✅,Elizabeth Warren Sounds Alarm ...
TSLA,SHORT,-0.477506547627654,📈 Trend Flip (Short),❌,Tesla's Inventory Nightmare Co...
TSLA,SHORT,-0.008240173592998478,📈 Trend Flip (Short),❌,Mag 7 Stocks Melt Up After Cea...
TSLA,LONG,0.016559032952476203,💰 RSI Overbought,✅,Intel's TeraFab Win A Major Cr...
TSLA,LONG,0.15658050160702416,💰 RSI Overbought,✅,VC Firm Eclipse Raises $1.3 Bi...
AAPL,LONG,0.017447608708279497,💰 RSI Overbought,✅,Jim Cramer Says Apple Stock 'G...
AAPL,SHORT,0.22337736563371613,📈 Trend Flip (Short),✅,Mag 7 Stocks Melt Up After Cea...
AAPL,LONG,0.007714561234322781,💰 RSI Overbought,✅,Apple Kills Mini-LED Era: New ...
AAPL,LONG,-0.007709803014547879,📉 Trend Flip,❌,Apple's Foldable iPhone Report...
AAPL,LONG,0.9376233714962495,💰 RSI Overbought,✅,"Anthropic Teams With Apple, Mi..."
AAPL,SHORT,-0.015800284405116147,📈 Trend Flip (Short),❌,Apple Vs. Epic: Tech Giant See...
AAPL,LONG,0.021854449367217064,💰 RSI Overbought,✅,Magnificent Seven Are Cracking...
MSFT,SHORT,0.2322880371660848,📈 Trend Flip (Short),✅,What's Going On With Microsoft...
MSFT,SHORT,0.04684937924572677,💎 RSI Oversold,✅,Mag 7 Stocks Melt Up After Cea...
MSFT,SHORT,-0.15676597956859287,📈 Trend Flip (Short),❌,Alphabet Sheds Its 'Black Hole...
MSFT,LONG,0.04050950284303395,💰 RSI Overbought,✅,"Anthropic Teams With Apple, Mi..."
AMD,LONG,-0.21551724137931033,📉 Trend Flip,❌,AMD's Stock Momentum Climbs As...
AMD,LONG,0.18811654049094978,💰 RSI Overbought,✅,Broadcom TPU Deals Extend 'Mul...
AMD,LONG,-0.2088346120670123,📉 Trend Flip,❌,Citigroup Maintains Neutral on...
AMD,LONG,-0.5000000000000061,🚨 Stop Loss,❌,AMD Gains Market Share As 'Age...
